"","Date","Avg.Wind.Speed","Percip","Snow","Temp.Avg","Temp.Max","Temp.Min","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22","Snow.bin"
"158",2010-06-07,10.74,0,0,NA,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"159",2010-06-08,8.5,0,0,NA,79,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"160",2010-06-09,9.4,0.06,0,NA,76,66,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"161",2010-06-10,8.05,0.05,0,NA,90,70,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"162",2010-06-11,6.71,0,0,NA,86,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"163",2010-06-12,9.62,0,0,NA,93,69,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"164",2010-06-13,8.05,0,0,NA,94,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"165",2010-06-14,7.16,0.27,0,NA,91,75,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"166",2010-06-15,6.71,0.01,0,NA,82,72,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"167",2010-06-16,7.61,0.02,0,NA,82,71,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,FALSE
"168",2010-06-17,12.75,0,0,NA,87,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"169",2010-06-18,6.49,0,0,NA,87,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"170",2010-06-19,9.84,0,0,NA,93,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"171",2010-06-20,8.5,0,0,NA,95,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"172",2010-06-21,7.61,0,0,NA,93,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"173",2010-06-22,6.49,0.25,0,NA,96,73,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
"174",2010-06-23,7.61,0,0,NA,97,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"175",2010-06-24,10.07,0,0,NA,100,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,FALSE
"176",2010-06-25,6.93,0,0,NA,92,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"177",2010-06-26,5.14,0,0,NA,95,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"178",2010-06-27,8.05,0,0,NA,99,75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"179",2010-06-28,8.72,0.79,0,NA,97,73,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"180",2010-06-29,9.84,0,0,NA,92,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
"181",2010-06-30,9.62,0,0,NA,81,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"182",2010-07-01,11.41,0,0,NA,81,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"183",2010-07-02,6.49,0,0,NA,83,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"184",2010-07-03,6.49,0,0,NA,87,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"185",2010-07-04,6.71,0,0,NA,94,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"186",2010-07-05,4.7,0,0,NA,99,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"187",2010-07-06,4.47,0,0,NA,102,77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"188",2010-07-07,5.37,0,0,NA,102,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"189",2010-07-08,7.16,0,0,NA,95,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"190",2010-07-09,5.82,0.02,0,NA,93,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"191",2010-07-10,10.07,1.17,0,NA,83,74,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,FALSE
"192",2010-07-11,5.14,0,0,NA,92,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"193",2010-07-12,6.26,0.4,0,NA,87,73,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,FALSE
"194",2010-07-13,5.82,1.86,0,NA,87,73,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
"195",2010-07-14,8.05,0.34,0,NA,90,73,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,FALSE
"196",2010-07-15,6.04,0,0,NA,92,74,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE
"197",2010-07-16,8.28,0.01,0,NA,98,76,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,FALSE
"198",2010-07-17,6.71,0,0,NA,93,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"199",2010-07-18,8.05,0,0,NA,95,75,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
"200",2010-07-19,8.72,0.03,0,NA,92,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
